Instance,Algorithm,Time(s),Cost,Success,Error,Dimension
kroE100.tsp,Twice-Around-the-Tree,0.4543,30507.419046823474,True,,100
kroE100.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
lin105.tsp,Christofides,0.4816,16323.675799681514,True,,105
lin105.tsp,Twice-Around-the-Tree,0.45,19498.408788813624,True,,105
lin105.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
lin318.tsp,Christofides,1.4531,47259.75653586447,True,,318
lin318.tsp,Twice-Around-the-Tree,0.6112,58145.441917056065,True,,318
lin318.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
linhp318.tsp,Christofides,1.4489,47259.75653586447,True,,318
linhp318.tsp,Twice-Around-the-Tree,0.6072,58145.441917056065,True,,318
linhp318.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
nrw1379.tsp,Christofides,114.3148,63845.070784206226,True,,1379
nrw1379.tsp,Twice-Around-the-Tree,4.5306,79156.2650653691,True,,1379
nrw1379.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
p654.tsp,Christofides,1.7785,39244.70795213078,True,,654
p654.tsp,Twice-Around-the-Tree,1.1861,49731.89542216019,True,,654
p654.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pcb1173.tsp,Christofides,32.9243,63392.440765721745,True,,1173
pcb1173.tsp,Twice-Around-the-Tree,3.233,80694.8928627429,True,,1173
pcb1173.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pcb442.tsp,Christofides,2.646,54876.77363889552,True,,442
pcb442.tsp,Twice-Around-the-Tree,0.7574,69364.90250618651,True,,442
pcb442.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr1002.tsp,Christofides,26.6592,286233.0980252908,True,,1002
pr1002.tsp,Twice-Around-the-Tree,2.3847,342244.46239584225,True,,1002
pr1002.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr107.tsp,Christofides,0.5143,47894.18468460625,True,,107
pr107.tsp,Twice-Around-the-Tree,0.4685,54238.03661175547,True,,107
pr107.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr124.tsp,Christofides,0.5029,64437.69864117384,True,,124
pr124.tsp,Twice-Around-the-Tree,0.4651,74140.95964828487,True,,124
pr124.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr136.tsp,Christofides,0.5078,103771.90817636026,True,,136
pr136.tsp,Twice-Around-the-Tree,0.4718,151913.74200165656,True,,136
pr136.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr144.tsp,Christofides,0.4948,70405.28109712257,True,,144
pr144.tsp,Twice-Around-the-Tree,0.4733,80596.32004796875,True,,144
pr144.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr152.tsp,Christofides,0.5101,79314.35040722211,True,,152
pr152.tsp,Twice-Around-the-Tree,0.4751,87998.6939814051,True,,152
pr152.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
